market_type,instrument_type,exchange_code,stock_code,standard_code,stock_name,stock_name_en,currency_code,etf_yn,nxt_yn
KOSPI,STOCK,KRX,001390,KR7001390004,KG케미칼,,KRW,N,N
KOSPI,STOCK,KRX,001420,KR7001420009,태원물산,,KRW,N,N
KOSPI,STOCK,KRX,001430,KR7001430008,세아베스틸지주,,KRW,N,N
KOSPI,STOCK,KRX,001440,KR7001440007,대한전선,,KRW,N,N
KOSPI,STOCK,KRX,001450,KR7001450006,현대해상,,KRW,N,N
KOSPI,STOCK,KRX,001460,KR7001460005,BYC,,KRW,N,N
KOSPI,STOCK,KRX,001465,KR7001461003,BYC우,,KRW,N,N
KOSPI,STOCK,KRX,001470,KR7001470004,삼부토건,,KRW,N,N
KOSPI,STOCK,KRX,001500,KR7001500008,현대차증권,,KRW,N,N
KOSPI,STOCK,KRX,001510,KR7001510007,SK증권,,KRW,N,N
KOSPI,STOCK,KRX,001515,KR7001511005,SK증권우,,KRW,N,N
KOSPI,STOCK,KRX,001520,KR7001520006,동양,,KRW,N,N
KOSPI,STOCK,KRX,001525,KR7001521004,동양우,,KRW,N,N
KOSPI,STOCK,KRX,001527,KR7001522002,동양2우B,,KRW,N,N
KOSPI,STOCK,KRX,001530,KR7001530005,DI동일,,KRW,N,N
KOSPI,STOCK,KRX,001550,KR7001550003,조비,,KRW,N,N
KOSPI,STOCK,KRX,001560,KR7001560002,제일연마,,KRW,N,N
KOSPI,STOCK,KRX,001570,KR7001570001,금양,,KRW,N,N
KOSPI,STOCK,KRX,001620,KR7001620004,케이비아이동국실업,,KRW,N,N
KOSPI,STOCK,KRX,001630,KR7001630003,종근당홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,001680,KR7001680008,대상,,KRW,N,N
KOSPI,STOCK,KRX,001685,KR7001681006,대상우,,KRW,N,N
KOSPI,STOCK,KRX,001720,KR7001720002,신영증권,,KRW,N,N
KOSPI,STOCK,KRX,001740,KR7001740000,SK네트웍스,,KRW,N,N
KOSPI,STOCK,KRX,001750,KR7001750009,한양증권,,KRW,N,N
KOSPI,STOCK,KRX,001755,KR7001751007,한양증권우,,KRW,N,N
KOSPI,STOCK,KRX,001770,KR7001770007,SHD,,KRW,N,N
KOSPI,STOCK,KRX,001780,KR7001780006,알루코,,KRW,N,N
KOSPI,STOCK,KRX,001790,KR7001790005,대한제당,,KRW,N,N
KOSPI,STOCK,KRX,001795,KR7001791003,대한제당우,,KRW,N,N
KOSPI,STOCK,KRX,001800,KR7001800002,오리온홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,001820,KR7001820000,삼화콘덴서,,KRW,N,N
KOSPI,STOCK,KRX,001940,KR7001940006,KISCO홀딩스,,KRW,N,N
KOSPI,STOCK,KRX,002020,KR7002020006,코오롱,,KRW,N,N
KOSPI,STOCK,KRX,002025,KR7002021004,코오롱우,,KRW,N,N
KOSPI,STOCK,KRX,002030,KR7002030005,아세아,,KRW,N,N
KOSPI,STOCK,KRX,002070,KR7002070001,비비안,,KRW,N,N
KOSPI,STOCK,KRX,002100,KR7002100006,경농,,KRW,N,N
KOSPI,STOCK,KRX,002140,KR7002140002,고려산업,,KRW,N,N
